序号,问题,答案
1,图纸中的名称是什么,图纸中的名称是**盖板**。
2,材料规格是什么？,图纸中的材料规格为：**T1.0mm×1741.0mm×919.0mm**
3,材料是什么？,图纸中的材料是 **SPCC**。
4,技术要求是什么,根据图纸中的技术要求，具体内容如下： |  | 1. 表面光洁，无外观缺陷。 | 2. 未注折弯内角半径R为板厚；未注倒圆角R3。 | 3. 表面喷涂材料为纯聚酯型粉末、A作业喷涂颜色为LV SE。
5,A作业喷涂颜色是什么,根据图纸技术要求中的说明，A作业喷涂颜色为 **LV SE**。
6,未注折弯内角半径R指的是什么,根据图纸中技术要求第2条的说明，“未注折弯内角半径R为板厚”是指： |  | **图纸上所有没有明确标注折弯内角半径的折弯位置，其内角半径（R）等于所用板材的厚度。** |  | 结合本图纸的材料规格（SPCC，**T1.0mm**），具体的数值含义为： | - 所有未标注的折弯内角半径 **R = 1.0 mm**。
7,根据技术要求，是否允许外观有缺陷？,"根据图纸技术要求第1条“表面光洁,无外观缺陷”的规定，**不允许**外观存在缺陷。"
8,图号是多少？,图号是 **N2031234567**。
9,再归档日期是多少？,再归档日期为 **17-05-23**（2017年5月23日）。
10,敲落孔连接共几处？,根据图纸参数： | - **H-H(1:1) | (敲落孔连接共6处)** = 99.7 mm
11,NTS几处？,图纸中 **NTS** 标注共有 **1处**。
12,设计是谁,根据图纸签字栏信息，设计者为 **AA**。
13,审核是谁,"根据图纸中的签字栏信息，审核位置只有日期""19-12-12""，但未注明具体的签名人，因此审核者的姓名未在图纸中标注。"
14,工艺是谁,根据图纸签字栏信息，工艺负责人为 **DD**，日期为 17-06-15。
15,标准化是谁,根据图纸签字栏信息，标准化负责人的签名在图中未明确标注；签字栏中与标准化同行的仅有归档日期 17-06-16。
16,归档日期是什么？,根据图纸签字栏信息，归档日期为 **17-06-16**。
17,批准是谁,根据图纸签字栏信息，批准人为 **EE**，日期为 17-06-16。
18,设计日期是什么？,根据图纸签字栏信息，设计日期为 **17-05-23**。
19,审核日期是什么？,根据图纸签字栏信息，审核日期为 **19-12-12**。
20,工艺日期是什么,根据图纸签字栏信息，工艺日期为 **17-06-15**。
